lag_hours,acf_median,acf_mean,acf_p25,acf_p75
123,0.11411459231425655,0.13002605168317696,0.09935000209024666,0.126178143735061
124,0.1031976356207022,0.12237183469138614,0.09214011209054798,0.12292230572368223
125,0.09665735581373083,0.11678928856555773,0.0858682935216874,0.1226344906391789
126,0.09154858377869945,0.11182688111294209,0.07842517882349627,0.11691239468132225
127,0.08652369407272714,0.1074172202184554,0.07280449894681837,0.10964790089711571
128,0.08313271843386502,0.10386996426095392,0.0679702292454129,0.10342113448924242
129,0.08390756313497,0.10127600048762184,0.06468457929211528,0.09897693717357872
130,0.08301575499037549,0.09877528734676139,0.061480113666870145,0.0990080618101816
131,0.08224288081453462,0.09685343801186198,0.05903336169442833,0.10027579097430266
132,0.08219003648993735,0.09572397239265898,0.05725692537112928,0.0988541613123837
133,0.08172692176910827,0.09526574929329408,0.057715925866969976,0.09699582673396276
134,0.08157779569680682,0.09546021194126467,0.058185379142479794,0.09599139254715477
135,0.08128642338789935,0.09635337768256692,0.06091942902003931,0.09581772137454586
136,0.08300137857504056,0.09823660045121943,0.06335525712951752,0.09922816521878826
137,0.0844981300717928,0.10117354876933125,0.06688917467378613,0.10459334892800486
138,0.08728128495633186,0.10469075118457308,0.07009459598188514,0.11017420074817924
139,0.08984047132914097,0.10855473848946476,0.07322812352721147,0.11745323735122884
140,0.09418913893526447,0.11409208867884003,0.07941604072832231,0.12088739498958424
141,0.1009174284009182,0.1219324083682395,0.08655253072840138,0.12737674954914008
142,0.10971507679274206,0.13148896667073867,0.09335177802090545,0.13897963216482284
143,0.11861384328264385,0.1400614283324781,0.1009822013525082,0.15333430680732132
144,0.12340981475656893,0.14391645041748136,0.1044458501481367,0.15957186486749844
145,0.12034275599042094,0.13969716664666634,0.10082100232730892,0.15251117817278187
146,0.1097781060525552,0.1307713084630963,0.09311462760919148,0.1401220897826624
147,0.09980473914324237,0.1215102098675416,0.08418924799064054,0.1292186268685544
148,0.09274092799061066,0.11392417016623899,0.07858799520754894,0.1238763553227226
149,0.08723967469902699,0.10840212853619541,0.07292998385093219,0.11801416320583148
150,0.0824913249916656,0.10353860801257879,0.07007954977757494,0.11001784876161243
151,0.07615555036079925,0.09928559880201673,0.06751116545682581,0.10377113308781298
152,0.07272748426313103,0.0952389900377579,0.06315029077729785,0.09858847373022561
153,0.07023590608490893,0.09203322917656555,0.05997118188329985,0.0985236298009649
