model,seq_len,F,ma24_rmse,ma24_rmse_std,ma24_mae,hourly_rmse,hourly_mae,n_stations
xgboost,48,F1,5.973814633537172,0.8451965909210133,4.19315891375692,9.38976044156444,6.217575635922485,18
xgboost,48,F2,5.848966616723921,0.8219133318508519,4.134513558478487,9.257587614335437,6.136971165307547,18
xgboost,48,F3,5.81878955041997,0.7461185759235647,4.1636499079863665,9.272537785970298,6.2059782126448795,18
xgboost,48,F4,5.793668390010243,0.7540246754558567,4.1127184844840174,9.244704382898988,6.154032354520919,18
xgboost,48,F5,5.447788409872449,0.8035154534680378,3.976417491213228,9.020324574716312,6.094203437465616,18
xgboost,72,F5,5.521290391121389,0.8084641387560263,4.030738939325852,9.091891383801226,6.147124660567911,18
xgboost,96,F1,5.950737766890914,0.8616099391702882,4.163389782331284,9.362433780922732,6.176632805880345,18
xgboost,96,F2,5.879507286596301,0.8388301262103655,4.142340682292259,9.280809499646745,6.133042273785284,18
xgboost,96,F3,5.820765826004932,0.8304868418342818,4.160774337514062,9.283896283847538,6.201559264280444,18
xgboost,96,F4,5.733885822623016,0.8047408529196726,4.090112256136184,9.196571454582191,6.13209196421101,18
xgboost,96,F5,5.543833704476381,0.8833289637517603,4.058460851681713,9.13459653799174,6.179833104928938,18
